- bodumedi	religious
bogodimotlhotlhwa	price ceiling
bogodimowatle	sea level
bogodu	theft
bogodulebenkeleng	shoplifting
bogogedi / bomakenete	magnetism
bogolaganyetso	breaker panel
bogole	deformity
bogole / bokoa	disability
bogolo	adulthood
bogolo	mass
bogolo / selekanyo / saese	size
bogolo ba boalo	surface area
bogolotekano	equal size
bogolotlhophi jwa kgaolo	district magnitude
bogotetsididi / themphereitšha	temperature
bogotetsididi ba mmele / themperiêtšha ya mmele	body temperature
bogwata	hoarseness
bogwebaesi	sole proprietorship
bogwenegwene / botsukunape / bokirikiri	scam
bogwenegwene jwa ditlhopho / botsukunape jwa ditlhopho	vote fraud
boikarabelo / maikarabelo	accountability
boikemisetso / maikaelelo	goal
boiketlo / boitapolosa	leisure
boikgapho / boikilelo	abstinence
boikgapo / ikilelo	precaution
boikgopolo	selfish
boikokobetso / bonolo / boikobo	politeness
boikotlololo / jiminasetiki / boitshidilo	gymnastics
boikuelo	appeal
boima	mass
boima / bokete	weight
boima / bothata	hardship
boimana	antenatal
boimaphetelela	overweight
boimatlase	underweight
boimatlhofo	lightweight
boineelotatedi	cross-cutting cleavage / cross-cutting support
boipelaetso	protest
boipelo / motlotlo	pride
boipelo ka setso	cultural pride
boiphediso	career
boipobolo / ipolelo	confession
boipuso	freedom
boitemogo jwa bantsho	black consciousness
boithabiso	showbiz / show business
boithutatempe	philately
boitiketso / ntlwanaboithusetso / sekgwamathe / ntlwanaboithomelo	toilet / lavatory
boitlamotefo / boitlamotuelo	financial obligation
boitlhameditsweretshi / boitlhameditaki	artistic innovation
boitshepokgwebong / tshepokgwebong	business confidence
boitshoko / kgotlelelo	tolerance
boitsholo / boitshwaro	ethics
boitshupo	identity
boitshwaro	behaviour / behavior
boitumediso	entertainment
bojalwa / nnotagi	liquor
bojang / tlhaga	grass
bojangthulelo	thatch
bojelathoko / bogogelathoko	right wing
boka	flick
bokae / -kana kang	how much
bokaedi	directorate
bokalaka	alkalinity
bokana	amount
bokana	total amount
bokanakang	quantity
bokanakang / bokalo	quantity
bokao	meaning
bokapitale	capitalism
bokapitale	capitalist system
bokatisetsakalafi	medical training
bokete	heavy
bokete / boima	heavy
bokete / boima	weight
boketetsalo / boimatsalo	birth weight
bokgakga	nicotine
bokgoba / bolala	slavery
bokgoba jwa diritibatsi	drug addiction
bokgoni	efficiency
bokgoni	skill
bokgoni	virtuosity
bokgoni jwa khomphiutha	e-literacy
bokgoni jwa mmino	musicianship
bokgonibadiri / dinonofobadiri	human capital
bokgonikarolo	division skill
bokgonipalo	number skill
bokgonipuiso / kitsopuisokwalo	literacy
bokgonitharabololo	problem-solving skill
bokgonithekeniki	technological capability
bokhenelo	canning factory / cannery
bokhutlo	end
bokhutlo jwa beke / mafelo a beke	weekend
bokidi / bogatsu	paraesthesia / paresthesia
bokimakima	obesity
bokoa	asthenia
bokoa	weakness
bokobo / bomaswe / bobe / maswe	ugly
bokoloniale	colonialism
bokomonisi	communism
bokone	north
bokonebophirima	north-west
bokonebotlhaba	north-east
bokopanelo jwa moseleleswe	sewer stub / sewer connection
bokotamelotena	brick ledge
bokotsipholong	health hazard
bokwaledi	secretariat
bokwalelarala	stagecraft
bokwapele	foreground
bola / senyega	decay / rot
boladu	pus
bolaodi jwa boswa	heritage management
bolatlhelamatlakala / botshololelamatlakala / thotobolo	rubbish dump
bolaya	cross out
bolaya	kill
boleele	height
boleele	length
boleele / bogodimo	height
boleele jotlhe	total length
boleelekhubu	wavelength
boleeletekano	equal length
boleeletswalo	closed joined length / CJL
bolekane / thini / moteme	canister
bolekanyetso	scope
bolekgolo	hundredth
bolekgolong	percentage
bolelo / bothitho / mogote	heat
bolelolelo	white-hot
boleng	quality
boleng	value
boleng / pharologantsho	property
boleng jotlhe / tlhwatlhwa yotlhe	total value
bolengkadimo	loan value
bolengkemedi	place value
bolengkemisetso	replacement value
bolengkgogelomorago	surrender value / cash surrender value
bolengmetsi	water quality
bolengmmaraka	market value
bolengotlhe	net worth
bolengpalo	properties of numbers
bolengpalo	value
bolengselekane	standard of value
bolengteng-mmeleng / botsenammele	bioavailability / biological availability / BA
bolengthekiso	retail value
bolengthekiso / bolengkananyo	trade-in value
bolengtheko	book value
bolengtheko	value for money
bolengtlhole	toxicity
bolengtumelano	agreed value
bolentlhokomelo	quality of care
bolentshelo	quality of life
bolepamelemo	pharmacology
bolepatlhole	toxicology
bolepolepo	pituitary gland / pituitary / hypophysis
bolepulele	agar
bolepurapo / jelathini	gelatin
boleyotsweledi	continued existence
bolitšhi / sesweufatsi	bleaching agent / bleach
boloka	save
boloka	store
boloka / baya	store
boloka / beeletsa / baya	reserve
boloka / sireletsa / babalela / somarela	conserve
boloka / somarela	conserve
bolokesegile / babalesegile	safe
bolokhutlwana	baseball
boloko	block
bolokokirafu	block graph
bolomagano / netlano	joggle
bolonolo	softball
bolorelo	ashpit
bolotlatlana / kgweletlatlana	basketball
boloto / maatla	volt / V
bolotsa	deploy
bolwetse	disease
bolwetse jo bo sa foleng	chronic disease
bolwetse jwa baephola	bipolar disorder
bolwetse jwa ga Alzheimer	Alzheimer's disease
bolwetse jwa letlalo	skin condition
bolwetse jwa letshololo	diarrhoeal disease
bolwetse jwa lothapopelo	endometriosis
bolwetse jwa methapoitlho / tlelokhoma	glaucoma
bolwetse jwa pelo	heart disease / cardiovascular disease
bolwetse jwa sebete / hephathaitisi	hepatitis
bolwetse jwa seliaka	coeliac disease / celiac disease
bolwetse jwa sukiri	diabetes
bolwetse jwa tikologo	endemic disease
bolwetse jwa tshepelo	motion sickness
bolwetse jwa tshika	genetic disease
bolwetse jwa tshika	hereditary disease
bolwetse jwa tshikapelo	coronary heart disease
bolwetsekamano le lebolelamading / bolwetsekamano le HIV	HIV-related disease
bolwetsekhemo	respiratory disease
bolwetsekhupelo	asthma
bolwetsethobalano / bolwetse jo bo fetelelang ka thobalano	sexually transmitted infection / STI / sexually transmitted disease / STD / venereal disease / VD
bolwetsetlhokakalafo / bolwetse jo bo sa foleng	incurable disease
bolwetsetshelano	communicable disease / infectious disease
bolwetsetshupo jwa Aids / bolwetsetshupo jwa phate	Aids-defining illness
bomoarafe	ethnicity
bonana	puberty
bonasepoelomadi	cash-back bonus
bonasetlhokakopo / bonasetlhokatleleimi	no-claim bonus / NCB
bonatsang	transparent
bonelapele	predict
bonesa / tshuma / gotetsa	radiate
bonetetshi	science
bonetetshi / fisika	physical science
bong	gender
bong	sex
bong	sex / gender
bongaologo	elastic potential energy
bongola	moist
bongola	moisture
bongsele	opposite sex
bongtona / tonanyana	male / male sex
bongwana	childhood
bongwe / yuniti	unit
bonno jwa bobegakgang / disoloro tsa bobegakgang	press gallery
bonnotlhago / legaetlhago	habitat
bonnotlholego / bonnotlhago	natural habitat
bonolo	easy
bonolo	gentle
bonolo	gently
bonolo	simple
bonolo / boikobo	polite
bontate / borre	fatherhood
bontlhakarabokatiso	partial product
bontlonngwe	unicameralism
bontlopedi	bicameralism
bonto	bond
bontsha	display
bontsha	mirroring
bontsha / kaela / supetsa	demonstrate
bontsha / supetsa / tshwantsha	illustrate
bontsho	black
bontsi	absolute majority
bontsi	crowd
bontsi	majority / majority vote
bontsi - itlhamelo	manufactured majority
bontsi jwa peditharong	two-third majority / qualified majority / supermajority
bontsi jwa peditharong	two-thirds majority
bontsikgonego	as many as
bontsintsi	absolute majority
bontsiphetelela	overpopulated
bookelo / sepetlele / kokelo	hospital
bopa	form
bopa	mould / cast
bopa	shape
bopa	shaping
bopa / tlhama	create / make
bopa potlalo	full employment
bopaki	evidence
bopama / ota / otlhega	wasting
bopasešwa / diragape / diriswagape	recycle
bopega	malleable
bopelokgale / bobete	courage
bophakwane	attention deficit hyperactivity disorder / ADHD
bophaphathi / bodilophaphathi / bopolata	flatwork
bophara	breadth
bophara	breadth / width
bophara	width
bophelophepa	hygiene
bophepa / rulagane	tidy
bophiri	confidentiality
bophiri	privacy
bophiri	secrecy
bophirima / bodikela	west
bopi jo bohibidu	yellow mealie meal
bopopo / bodiri	manufacturing
bopopota	hardness
bopopota / bothata	toughness
bopududuntsho / bopududu jo bo tseneletseng	blue-black
bopuontsi / botementsi	multilingualism
bora	bow
boradikgang	media
boraladikago	architecture
borapelelo	shrine
boratarong kgotsa nngwethatarong	sixth
boraše ba pente	paint brush
bore / nthere / marere	sexual fluid
borefosanothoto / borefosanostoko	stock exchange
boreisi	brace
borekhu	lacquer
borekhu	resin
borekhu jwa akereliki	acrylic resin
borekhu jwa pholesetara	polyester resin
borekisetso	point of sale / POS
borekisetso / borekelo / mmaraka	market
borekisetsointhanete	internet café / cyber café
borere	mucus
borethe	fine
borethe	smooth
boriba / magaga	lichen
boriki / maremo	brake
boro	drill
boro ya dikgong	wood drill
borobedi	eighth
boroe / boe	egg cell
borogotekelelo / morathotekelelo	suspension bridge
borokwagouta	golden brown
borokwanapududu / botuba	greyish brown
boromothimolopududu	bromothymol blue
boromowa	air drill
borongwa	mission
borothopate	sandwich
borupomologo	urticaria / hives
borutegi	qualification
borwa	south
borwabophirima	south-west
borwabotlhaba	south-east
bosa	weather
bosa bo bo metsi / bosa ba pula	wet weather
bosagelo	sawmill
bosakhutleng	eternal
bosamagareng	moderate weather
bosanakwana / maemobosakhutshwane	weather spell
bosaoma	dry weather
boselennere	cylindrical
bosenyi	crime
bosenyi ka Inthanete	cyber crime
bosetšhaba	national
bosiamisi	justice
bosiamisi / boatlodi	judiciary
bosigo	night
bosigo	nocturnal
bosigogare	midnight
bosika	gene
bosikagotlhe / jenome	genome
bosima	adolescence
bosisi	sensitive
bosošiale	socialism
boswa	fungus
boswa jwa bosetšhaba	national heritage
boswa jwa jese	jazz heritage
boswadisele	necrosis
boswafe	albinism
boswakgapetla	freezing point
boswata / bogwata	rash
boswatlhokatlhaloso	intangible heritage
botagwa	alcoholism
botaki ba seramiki	ceramics
botala	green
botala / pududu	blue
botalanyana	light green
botamelo / bodutelo	sump
bote / sepeme / peo	sperm
boteng	depth
bothale	bare wire
bothale	lead
bothale	wire
bothale ba sethibelalogadima	earth wire
bothale jwa kopore jo bo mmala	coloured copper wire
bothale jwa motlakase / mogala wa motlakase	electric wire
bothalekganedi	resistance wire
bothalekgotlho	copper wire
bothalekgotlholepona	naked copper wire
bothalemagareng	neutral / neutral wire / neutral conductor
bothalemagareng	neutral wire
bothaletshelang	live wire
bothata / bopopota	strength
bothata / matshwenyego	trouble
bothata jwa tikologo	environmental problem
bothati / maemotiro	office
bothatikhuduthamaga / mothatikhuduthamaga	executive authority
bothatikhuduthamaga jwa porofense / khuduthamaga ya porofense	provincial executive authority / provincial executive
bothatiselegae / bothati jwa pusoselegae	local authority
bothekenikipalo	arithmetic technique
bothibelwa	block out
bothitho	sensible heat / SH
bothito	warmth
botho	humanity
botho	humility
botho / setho / boitshwaro	ethics
bothuthusetso	hatchery
bothuthusetso jwa theraoto	trout hatchery
bothuthusetsotlhapi	fish farm
botimamolelo	fire brigade
botlalo	detail
botlase	bottom
botlase jwa mathudi / letlaseriba	soffit
botlasetlase	lowest point
botlasetlhotlhwa	price floor
botlhabatsatsi	east
botlhagisetso	production studio
botlhale	wisdom
botlhale	wise
botlhami	creativity
botlhano	fifth
botlhaologo	solubility
botlhaswa	reckless
botlhatswetso	laundry
botlhofo	light
botlhogisetso	nursery
botlhokatiroithaopo / botshwakga / botlapa	voluntary unemployment
botlhoko jwa mesifa	myalgia / muscle pain
botlhoko jwa mometso / botlhoko jwa kgogobe	pharyngitis
botlhokofatlha / setlhabifatlha	chest problem
botlhokomedi	whippery
botlhokotokololong	arthralgia / joint pain
botlhokwa	essential
botlhokwa / mosola	importance
botlhole	toxic
botlhole	toxin
botlhole / tšhefi	poison
botlhole jwa mogare	endotoxin
botlholelwantle	exotoxin
botlholemethapo	neurotoxin
botlholephilo	nephrotoxin
botlholesele	cytotoxin
botlolo	bottle
botlolorothisa	drop bottle
boto ya melelwane	demarcation board
botobaje	barge board
botofatla	fascia
botofofora / botofafara	chipboard
botonakgolo / boporimia / boprimia	premiership
botopapatso / biliboto ya mokgatlho	party billboard
botopetlela	chipboard
bototaka / botosemari	plasterboard
bototlase / seketing	baseboard
bototshegetsi	poling board
botsa	ask
botsadi	parental
botsalano / kamano / kgolagano	relationship
botsalo	birth
botsayakarolo jwa baagi	citizen participation
botsayatshwantsho / botsayanepe	photography
botsenasedi / atheriamo	atrium
botseno	access
botseno	inlet
botseno	portal
botsenwa / bogafi / tatlhegelotlhaloganyo	mental dysfunction
botsetseng / tantabetse / tseneletse	offside
botsetsepelo	conservatism
botshelo	life
botshelo / bophelo	life
botshelosemela	plant life
botshelotoka	decent life
botshelowatle	sea life
botshepegi / boitshepi	self-esteem
botshwaratlotlo	treasury
botshwayadikepelwa	blue staking
botsurafofane / bokotamafofane / boemafofane	airport
botswai	salinity
botswametsi / motswedi wa metsi	water source
botsweretshi / botaki	artistry
botsweretshi / botaki	the arts
botsweretshi jo bo mosola / botaki jo bo mosola	useful art
botsweretshi jwa lefatshe / botaki jwa lefatshe	world art
botsweretshi jwa lekgorokgoro / botaki jwa lekgorokgoro	classical art
botsweretshi jwa logong / botaki jwa logong	wood art
botsweretshi jwa segompieno / botaki jwa segompieno	contemporary art
botsweretshi jwa segompieno / botaki jwa segompieno	modern art
botsweretshi ka masaledi / botaki ka masaledi	fossil art
botsweretshi ka mmu / botaki ka mmu	land art / earth art
botsweretshi ka pente / botaki ka pente	paint art
botsweretshikgabiso / botakikgabiso	decorative art
botsweretshitiragatso	performance art
botsweretshitshwantshopono / botakitshwantshopono	fine arts
botšhonisi	usury
boutokhutlisakgang / tlhopho ya makgaolakgang	casting vote
boutu ka modumo / tlhopho ka modumo	voice vote
boutu mongwe le mongwe	one person, one vote
boutu ya sephiri / tlhopho ya sephiri	secret vote
boututekanyetso / voututekanyetso	limited vote
bowatshipi / tlhaletshipi / setiliwulu	steel wool
boȏpa	infertility
bronkhaetisi	bronchitis
budule	ripe
budulela / pompela	inflate
buisana	communicate
buisana	discuss
bukakwadiso / rejisetara	register
bukana / boroutšha	brochure
bukanaitshupo / ID / lokwaloitshupo / pasa	identity document / ID / ID book / ID document / identity book
bukanomorogala	telephone directory
bukatiro	workbook
bukatsatsi	diary
bula	create space / run off the ball
bulegileng / atlhameng	wide
bulela mowa	ventilate
bupe	meal
bupe ba borotho / folouru ya borotho	flour
bupe jwa mmidi	mealie meal
bupi / mogailwa	crushed grain
busa	govern / rule
demokerasi / temokerasi	democracy
demokerasi ya makokomantsi / temokerasi ya makokomantsi	multiparty democracy / plural democracy
demokerasi ya tseo karolo ka botlhe / temokerasi ya tseo karolo ka botlhe	participatory democracy
demokerasikemedi / temokerasikemedi	indirect democracy
demokerasitlhamalalo / temokerasitlhamalalo	direct democracy
deri	dairy
diakaretswa	inclusion / covered by policy
diako tsa mmidi / diako tsa mmopo	mealies
diaparo	outfit
diaparomoetlo	traditional clothes / traditional clothing
diatleletiki	athletics
dibaketiria	bacterium
dibatabata / mosaiki	mosaic
dibontshakgakala / diferekekere / dithusiponelakgakala	binoculars
dibopegotshwano	congruent shapes
didiriswa / dithulusu / ditlamelo	equipment
didiriswa tsa ditlhopho	voting material
didiriswakago	construction kit
didiriswakago	hardware
didiriswanolo / dikarolofefo	software
dielemente tse di tshwanang	common elements
diga / rema / folosa	relegate
digagabi	lizard
digase tsa ekesoso	exhaust fumes
digaswa / dikata / makgasa / malabola	rags
digobo / digôrô	rickets
digwata	roughage
diikaegi	heterotrophic
dijo	food
dijo	foodstuff
dijo tsa dinong	poultry feed
dijo tsa lelapa	family food
dijo tsa setso	cultural meal
dijo-tlhokakhabone	organic food
dijobolekana	tinned food / bottled food / canned food
dijobolekaneng / dijothining / dijomotemeng	canned product
dijoitekanelo	healthy food
dijokgotlhelegileng / dijo leswafetseng	contaminated food
dijokomota	solid food
dijokotla	nourishing food
dijonnye / seneke	snack
dijophetolwa	processed food
dijopitsana / pokikos	potjiekos
dijosaitekanelang	unhealthy food
dijotekanngwa	balanced diet
dijotshegare	lunch
dikabo	caulking
dikaganyetsa	surround
dikamano tsa mebuso	intergovernmental relations
dikarolotekano	equal parts
dikemola / diso / dipeisi	acne
dikerii	degree
dikete	thousands / Th
diketekgolo	hundred thousand
dikgabisakaparwa	wearable art
dikgakologo	spring
dikgare	wreath
dikgatlhegelo tsa botaki / dikgatlhegelo tsa botsweretshi	artistic interest
dikgato tse di setlhogo	draconian measures
dikgatonamolaleuba	drought-relief measures
dikgomo	cattle
dikgonothuto	study skills
dikgwedi tsa ngwaga	months of the year
dikhutlotharo - tshwano	congruent triangles
dikhutlwana tsa palamente	precincts of parliament
dikhutsana le bana ba ba ka sotlegang	orphans and vulnerable children / OVC
dikodu	tonsil
dikodu	tonsillitis
dikologa	around
dikologa	spin
dikologa / potologa	rotate
dikolosa	circulate
dikolosa	twirl
dikomeletsa	dried food
dikotla	energy food
dikwaloitshepo	holy writings
dikwalotsholo	campaign literature
dilalelo	dinner
dilalelo / dijo tsa maitsiboa	supper
dimela	flora
dimela	vegetation
dinakana	antenna
dinakana	panpipe
dinamanyane / tsalo / morokotso	interest
dingwaga / bogolo	age
dingwaga tsa go tlhopha / dingwaga tsa go vouta	minimum voting age
dingwagatlhopho	voting age
dinomoro tse di tlhakatlhakaneng	mixed number
dintlhakgolo	main points
dintlhapoloko / dintlhapanko	bank details / banking details
dintlhatshwanang	like poles
dintshwana	cutlery
diopedi	composite choir
dipalelotekanyetso	limited overs
dipalo	arithmetic
dipalo / bopalo	numeracy
dipalomathaithai / dipalotharabololo	mathematics / maths
